Feature,F_Score,RF_Importance
rna_ART3,21.144671482528807,0.0015876520389454477
meth_cg13848707,18.25435025431698,0.0015243870914967586
meth_cg05385513,18.227065812741397,0.0012741220477538002
meth_cg12510981,18.075822084141326,0.001444952190737218
mut_12978,17.65658196651653,0.00040303960531016555
meth_cg25950112,17.656261061705766,0.0042287120580151456
rna_SERPINE3,17.622602045574936,0.0013480310932566606
meth_cg05268203,17.548835726922338,0.001551740540500968
rna_MYH16,17.28504339789599,0.0012708466667996673
meth_cg21656726,17.197240337134843,0.0013114743086795138
meth_cg23719318,16.598778347152074,6.537157831771443e-05
rna_TRIML2,16.586240066797373,6.301835517815495e-05
meth_cg06530490,16.127617841875413,0.0006729198996367036
meth_cg04497176,16.098543412204837,0.0
meth_cg20041366,16.07399989530849,0.004895621906539998
meth_cg26678605,16.01995293065802,0.0009077674117381921
meth_cg10376408,15.868476470041552,0.00016067461467975406
meth_cg09155997,15.686502563952693,0.0003313276827795291
meth_cg22128431,15.65562537111245,0.0
meth_cg18414754,15.63133383155413,0.002553458451797043
meth_cg24856673,15.078305850096026,0.0003246789408725803
rna_ANKRD1,14.945997054632397,0.0004398752792259997
meth_cg25363445,14.897486360793833,0.0005743988639178857
meth_cg02407659,14.83493089762416,0.0005017783914503124
meth_cg01678714,14.678216145919201,0.0026379849617629027
meth_cg10782380,14.602096079559358,0.00012229069741803188
meth_cg11416076,14.430743771700065,0.0014871901710110816
rna_LOC100131551,14.39548957145895,0.0002790980642436688
meth_cg04428701,14.293471511634372,0.0011075699269460365
rna_DPY19L2,14.222417785470068,0.00023621621793876675
meth_cg14380111,14.187230350543574,0.0003642370670812579
meth_cg20255775,14.178257811563427,0.0011110623602522901
meth_cg23437733,14.158103121918858,0.00028389087651594193
meth_cg20267521,14.15658713701742,0.002352625791130134
meth_cg09669356,14.008726357373893,0.0012800939243309886
meth_cg17054969,13.966681729266446,0.0001607626769183943
rna_ADRB2,13.96290828592813,0.0001701827944210687
rna_DNAH3,13.825504945318656,0.0010882505559605216
meth_cg22674613,13.748465084446305,0.0
rna_RGS13,13.567781837346656,0.0013894832717171602
rna_TBX5,13.535946482628926,0.00024847274243137063
meth_cg11172693,13.494604172452844,0.00016293640099095827
rna_TARP,13.479263611459677,0.0017713328094748914
rna_WFDC13,13.478923074098217,0.00046551375393033995
meth_cg25437410,13.47239072191857,6.417203677477647e-05
meth_cg04579966,13.427462350232112,0.0026365849455271275
